date,agegroup,are_covid19_incidence
2021-W26,35-59,9
2021-W26,60+,4
2021-W27,00+,7
2021-W27,00-04,5
2021-W27,05-14,6
2021-W27,15-34,11
2021-W27,35-59,10
2021-W27,60+,3
2021-W28,00+,9
2021-W28,00-04,2
2021-W28,05-14,7
2021-W28,15-34,20
2021-W28,35-59,8
2021-W28,60+,2
2021-W29,00+,7
2021-W29,00-04,2
2021-W29,05-14,4
2021-W29,15-34,13
2021-W29,35-59,8
2021-W29,60+,3
2021-W30,00+,11
2021-W30,00-04,11
2021-W30,05-14,14
2021-W30,15-34,24
2021-W30,35-59,8
2021-W30,60+,5
2021-W31,00+,10
2021-W31,00-04,11
2021-W31,05-14,7
2021-W31,15-34,19
2021-W31,35-59,12
2021-W31,60+,3
2021-W32,00+,13
2021-W32,00-04,16
2021-W32,05-14,11
2021-W32,15-34,29
2021-W32,35-59,12
2021-W32,60+,2
2021-W33,00+,27
2021-W33,00-04,27
2021-W33,05-14,24
2021-W33,15-34,53
2021-W33,35-59,29
2021-W33,60+,6
2021-W34,00+,45
2021-W34,00-04,34
2021-W34,05-14,54
2021-W34,15-34,82
2021-W34,35-59,48
2021-W34,60+,10
2021-W35,00+,46
2021-W35,00-04,19
2021-W35,05-14,50
2021-W35,15-34,94
2021-W35,35-59,47
2021-W35,60+,12
2021-W36,00+,41
2021-W36,00-04,39
2021-W36,05-14,43
2021-W36,15-34,73
2021-W36,35-59,43
2021-W36,60+,12
2021-W37,00+,37
2021-W37,00-04,35
2021-W37,05-14,43
2021-W37,15-34,49
2021-W37,35-59,50
2021-W37,60+,10
2021-W38,00+,31
2021-W38,00-04,30
2021-W38,05-14,55
2021-W38,15-34,43
2021-W38,35-59,34
2021-W38,60+,12
2021-W39,00+,35
2021-W39,00-04,38
2021-W39,05-14,43
2021-W39,15-34,59
2021-W39,35-59,33
2021-W39,60+,15
2021-W40,00+,33
2021-W40,00-04,10
2021-W40,05-14,39
2021-W40,15-34,46
2021-W40,35-59,45
2021-W40,60+,12
2021-W41,00+,44
2021-W41,00-04,23
2021-W41,05-14,31
2021-W41,15-34,68
2021-W41,35-59,49
2021-W41,60+,27
2021-W42,00+,51
2021-W42,00-04,12
2021-W42,05-14,46
2021-W42,15-34,79
2021-W42,35-59,61
2021-W42,60+,25
2021-W43,00+,76
2021-W43,00-04,32
2021-W43,05-14,87
2021-W43,15-34,109
2021-W43,35-59,93
2021-W43,60+,34
2021-W44,00+,110
2021-W44,00-04,60
2021-W44,05-14,124
2021-W44,15-34,133
2021-W44,35-59,142
2021-W44,60+,57
2021-W45,00+,207
2021-W45,00-04,101
2021-W45,05-14,275
2021-W45,15-34,249
2021-W45,35-59,262
2021-W45,60+,107
2021-W46,00+,220
2021-W46,00-04,108
2021-W46,05-14,288
2021-W46,15-34,252
2021-W46,35-59,289
2021-W46,60+,114
2021-W47,00+,251
2021-W47,00-04,117
2021-W47,05-14,315
2021-W47,15-34,288
2021-W47,35-59,319
2021-W47,60+,144
2021-W48,00+,246
2021-W48,00-04,102
2021-W48,05-14,339
2021-W48,15-34,288
2021-W48,35-59,332
2021-W48,60+,108
2021-W49,00+,206
2021-W49,00-04,115
2021-W49,05-14,310
2021-W49,15-34,224
2021-W49,35-59,267
2021-W49,60+,102
2021-W50,00+,167
2021-W50,00-04,116
2021-W50,05-14,245
2021-W50,15-34,216
2021-W50,35-59,197
2021-W50,60+,77
2021-W51,00+,102
2021-W51,00-04,90
2021-W51,05-14,151
2021-W51,15-34,117
2021-W51,35-59,119
2021-W51,60+,56
2021-W52,00+,102
2021-W52,00-04,40
2021-W52,05-14,114
2021-W52,15-34,147
2021-W52,35-59,132
2021-W52,60+,40
2022-W01,00+,193
2022-W01,00-04,82
2022-W01,05-14,136
2022-W01,15-34,340
2022-W01,35-59,244
2022-W01,60+,57
2022-W02,00+,272
2022-W02,00-04,187
2022-W02,05-14,353
2022-W02,15-34,443
2022-W02,35-59,321
2022-W02,60+,72
2022-W03,00+,413
2022-W03,00-04,345
2022-W03,05-14,761
2022-W03,15-34,606
2022-W03,35-59,465
2022-W03,60+,107
2022-W04,00+,560
2022-W04,00-04,425
2022-W04,05-14,982
2022-W04,15-34,800
2022-W04,35-59,671
2022-W04,60+,137
2022-W05,00+,653
2022-W05,00-04,517
2022-W05,05-14,981
2022-W05,15-34,926
2022-W05,35-59,797
2022-W05,60+,195
2022-W06,00+,663
2022-W06,00-04,435
2022-W06,05-14,910
2022-W06,15-34,871
2022-W06,35-59,850
2022-W06,60+,247
2022-W07,00+,569
2022-W07,00-04,423
2022-W07,05-14,764
2022-W07,15-34,777
2022-W07,35-59,705
2022-W07,60+,214
2022-W08,00+,542
2022-W08,00-04,409
2022-W08,05-14,616
2022-W08,15-34,717
2022-W08,35-59,702
2022-W08,60+,220
2022-W09,00+,610
2022-W09,00-04,345
2022-W09,05-14,482
2022-W09,15-34,942
2022-W09,35-59,771
2022-W09,60+,252
2022-W10,00+,827
2022-W10,00-04,414
2022-W10,05-14,692
2022-W10,15-34,1257
2022-W10,35-59,1025
2022-W10,60+,376
2022-W11,00+,953
2022-W11,00-04,402
2022-W11,05-14,816
2022-W11,15-34,1290
2022-W11,35-59,1236
2022-W11,60+,495
2022-W12,00+,858
2022-W12,00-04,425
